id, mu_a ,    mu_s   , g ,     n ,     W  # type
  0 ,  0.00001, 0.00001, .00001 , 1.0    , 0     #Background
  1 ,  .0076  , 0.01 ,   0.9   , 1.33   , 1.0   #CSF
  2 ,  0.0335 , 10   , .9      , 1.3688 , .8    #Grey
  3 ,  0.0207 , 33   , .88     , 1.3852 ,  .7   #White
  4 ,  .087  ,  11.5   , .9       , 1.48   ,  0    #Fat
  5 ,  1.12   ,  53  , .95       , 1.41    ,  0   #Muscle
  6 , .35     , 35   , .93      , 1.45    , 0     #Muscle/Skin g=.8?
  7 ,  .015   , 8.6  , .94      , 1.55    , 0     #Skull
  8 ,  .22     , 58.5, .99     , 1.4    , 0     #Vessels
  9 , .087      ,11.5    , .9       , 1.46    , 0      #Around Fat (collagen)
  10,  .085   , 6.5  , 0.765   , 1.4    , 0       #Dura Mater
  11,  .015   , 9.6  , .9      , 1.4    , 0        #Bone Marrow